Typ,Kapazität,Menge,Lagerort,Spannung
MOSFET,2N7000,100,Schreibtisch-Schublade (Plastikbox),
Glassicherung,0.2 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,0.5 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,1 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,2 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,3 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,5 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,8 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,10 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,15 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Glassicherung,20 A,10,Schreibtisch-Schublade (Plastikbox),M5x20 mm
Logik-IC (Hex Buffer with Open-Collector Outputs),74LS07,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input OR Gate),74HC32,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input XOR Gate),74LS86,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (3-to-8 Line Decoder/Demultiplexer),74HC138,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Decade Counter (BCD)),74LS90,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (8-Bit Serial-In Parallel-Out Shift Register),74HC164,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (3-to-8 Line Decoder/Demultiplexer),74LS138,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (8-Bit Parallel-In Serial-Out Shift Register),74HC165,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Octal Bus Transceiver),74LS245,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (8-Bit Serial-In Parallel-Out Shift Register),74HC595,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input NAND Gate),74LS00,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input NAND Gate),74HC00,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input NOR Gate),74LS02,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input NOR Gate),74HC02,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Hex Inverter),74LS04,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Hex Inverter),74HC04,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input AND Gate),74LS08,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input AND Gate),74HC08,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Quad 2-Input OR Gate),74LS32,2,Schreibtisch-Schublade (Plastikbox),
Logik-IC (Hex Schmitt-Trigger Inverter),74HC14,2,Schreibtisch-Schublade (Plastikbox),
IC,NE555,10,Schreibtisch-Schublade (Plastikbox),
IC,LM324,5,Schreibtisch-Schublade (Plastikbox),
IC,LM393,10,Schreibtisch-Schublade (Plastikbox),
IC,UA741,10,Schreibtisch-Schublade (Plastikbox),
IC,LM2803,5,Schreibtisch-Schublade (Plastikbox),
IC,LM358,10,Schreibtisch-Schublade (Plastikbox),
IC,LM386,10,Schreibtisch-Schublade (Plastikbox),
IC,NE5532,10,Schreibtisch-Schublade (Plastikbox),
IC,ULN2003,5,Schreibtisch-Schublade (Plastikbox),
Optokoppler,PC817,10,Schreibtisch-Schublade (Plastikbox),
DIP-Schalter (blau),1-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T02, X001J GTBJD"
DIP-Schalter (blau),2-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T02, X001J GTBJD"
DIP-Schalter (blau),3-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T02, X001J GTBJD"
